Level	Object	Property	IndexCode	Delegate	Help tip	
5	Shape	Shadow	Color	ShapeShadowColor	Color picker	N/A
						
5	Shape	Fill	Color	ShapeFillColor	Color picker	N/A
5	Shape	Fill	Opacity	ShapeFillOpacity	Slider	N/A
5	Shape	Fill	Texture	ShapeFillTexture	Combobox + Button	N/A
						
4	Graphic	N/A	File	GraphicFile	Text + button	N/A
4	Graphic	N/A	Opacity	GraphicOpacity	Slider	N/A
4	Graphic	N/A	Blend mode	GraphicBlend mode	Combobox	N/A
						
5	Graphic	Location	X	GraphicLocationX	Text	N/A
5	Graphic	Location	Y	GraphicLocationY	Text	N/A
5	Graphic	Location	Anchor from	GraphicLocationAnchor from	Text	N/A
5	Graphic	Location	Anchor to	GraphicLocationAnchor to	Text	N/A
5	Graphic	Location	Orientation	GraphicLocationOrientation	Dial	N/A
